name,time,exchange,pair,open,close,high,low,volume
candles_60,1523937720000000000,binance,adabnb,0.01,0.01,0.01,0.01,2278.69
candles_60,1523937780000000000,binance,adabnb,0.01,0.01404,0.025,0.01,838.33
candles_60,1523937840000000000,binance,adabnb,0.0164,0.02296,0.023,0.0164,9646.72
candles_60,1523937900000000000,binance,adabnb,0.02296,0.0212,0.02296,0.02111,24134.71
